City_long,City_lat,city,pm1.0_atm,pm2.5_atm,pm10.0_atm,pressure,temperature,humidity,voc
-49.273056,-25.427778,Curitiba,0.0,0.13,0.265,,62.0,74.0,73.59
-49.273056,-25.427778,Curitiba,0.02,0.41,0.54,,60.0,77.0,
-49.273056,-25.427778,Curitiba,0.0,0.07,0.185,,63.0,74.0,72.42
-49.273056,-25.427778,Curitiba,0.17,0.17,0.47,,60.0,77.0,
-49.273056,-25.427778,Curitiba,0.0,0.025,0.025,,-232.0,39.0,
-49.273056,-25.427778,Curitiba,0.0,0.19,0.55,,64.0,73.0,73.8
-49.273056,-25.427778,Curitiba,0.0,0.14,0.14,,60.0,77.0,
-49.273056,-25.427778,Curitiba,0.0,0.035,0.1699999999999999,,64.0,72.0,76.01
-49.273056,-25.427778,Curitiba,0.0,0.29,0.29,,61.0,77.0,
-49.273056,-25.427778,Curitiba,0.0,0.05,0.295,,65.0,71.0,76.66
-49.273056,-25.427778,Curitiba,0.1,0.29,0.29,,61.0,77.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.18,,65.0,71.0,77.96
-49.273056,-25.427778,Curitiba,0.47,0.9,0.9,,61.0,77.0,
-49.273056,-25.427778,Curitiba,0.0,0.035,0.1699999999999999,,65.0,70.0,80.79
-49.273056,-25.427778,Curitiba,0.6,0.69,1.0,,61.0,76.0,
-49.273056,-25.427778,Curitiba,0.0,0.06,0.07,,-232.0,39.0,
-49.273056,-25.427778,Curitiba,0.0,0.035,0.3,,65.0,70.0,81.12
-49.273056,-25.427778,Curitiba,0.38,0.45,0.69,,60.0,77.0,
-49.273056,-25.427778,Curitiba,0.0,0.01,0.01,,-232.0,39.0,
-49.273056,-25.427778,Curitiba,0.0,0.1,0.145,,65.0,70.0,82.86
-49.273056,-25.427778,Curitiba,0.23,0.4,0.54,,60.0,77.0,
-49.273056,-25.427778,Curitiba,0.02,0.11,0.235,,-232.0,39.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.085,,65.0,70.0,83.67
-49.273056,-25.427778,Curitiba,0.31,0.97,1.1,,60.0,76.0,
-49.273056,-25.427778,Curitiba,0.0,0.08,0.175,,-232.0,39.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,65.0,70.0,83.27
-49.273056,-25.427778,Curitiba,0.18,0.29,0.29,,60.0,77.0,
-49.273056,-25.427778,Curitiba,0.0,0.05,0.05,,-232.0,39.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,66.0,70.0,81.83
-49.273056,-25.427778,Curitiba,0.05,0.39,0.39,,60.0,77.0,
-49.273056,-25.427778,Curitiba,0.0,0.11,0.27,,-232.0,39.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,66.0,68.0,81.29
-49.273056,-25.427778,Curitiba,0.115,0.115,0.215,,-232.0,39.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,65.0,69.0,80.43
-49.273056,-25.427778,Curitiba,0.12,0.265,0.265,,-232.0,39.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,65.0,69.0,80.47
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,65.0,69.0,81.99
-49.273056,-25.427778,Curitiba,1.97,2.96,3.305,,-232.0,40.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,65.0,69.0,83.43
-49.273056,-25.427778,Curitiba,2.115,3.1900000000000004,3.3,,-232.0,41.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,66.0,69.0,82.07
-49.273056,-25.427778,Curitiba,1.7,2.39,2.505,,-232.0,40.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,66.0,69.0,80.4
-49.273056,-25.427778,Curitiba,0.0,0.09,0.09,,60.0,77.0,
-49.273056,-25.427778,Curitiba,1.1749999999999998,1.915,1.915,,-232.0,40.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.01,,66.0,69.0,80.08
-49.273056,-25.427778,Curitiba,0.6799999999999999,0.815,0.815,,-232.0,39.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,66.0,69.0,82.25
-49.273056,-25.427778,Curitiba,0.19,0.42,0.42,,-232.0,40.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.05,,65.0,69.0,85.17
-49.273056,-25.427778,Curitiba,0.07,0.405,0.5800000000000001,,-232.0,39.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,65.0,69.0,87.54
-49.273056,-25.427778,Curitiba,0.0,0.0,0.03,,60.0,77.0,
-49.273056,-25.427778,Curitiba,0.415,0.6950000000000001,0.755,,-232.0,39.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,65.0,69.0,88.37
